Bitcoin,BTC,$17536.71
Ethereum,ETH,$1284.26
Tether,USDT,$1.02
USD Coin,USDC,$1.00
BNB,BNB,$267.28
Cocos-BCX,COCOS,$0.5979
XRP,XRP,$0.3869
Binance USD,BUSD,$1.00
Dogecoin,DOGE,$0.08812
Cardano,ADA,$0.3062
Polygon,MATIC,$0.8962
Polkadot,DOT,$5.28
Dai,DAI,$1.02
Wrapped TRON,WTRX,$0.05584
Litecoin,LTC,$74.58
TRON,TRX,$0.05593
Solana,SOL,$14.57
Shiba Inu,SHIB,$0.000009027
HEX,HEX,$0.02624
Uniswap,UNI,$6.02
Lido stETH,stETH,$1226.59
Avalanche,AVAX,$13.57
UNUS SED LEO,LEO,$3.69
Chainlink,LINK,$6.64
Wrapped Bitcoin,WBTC,$17726.28
Toncoin,TON,$2.38
Cosmos,ATOM,$9.78
Monero,XMR,$147.34
Ethereum Classic,ETC,$18.63
Stellar,XLM,$0.0848
Bitcoin Cash,BCH,$110.20
Algorand,ALGO,$0.2218
Cronos,CRO,$0.06179
Quant,QNT,$123.74
ApeCoin,APE,$4.07
Filecoin,FIL,$4.25
OKB,OKB,$22.77
NEAR Protocol,NEAR,$1.65
VeChain,VET,$0.01876
Hedera,HBAR,$0.04826
Internet Computer,ICP,$4.06
EOS,EOS,$0.9814
Frax,FRAX,$0.996
Wrapped BNB,WBNB,$263.10
Elrond,EGLD,$42.74
Luna Classic,LUNC,$0.0001791
Huobi Token,HT,$6.20
Pax Dollar,USDP,$1
Bitcoin BEP2,BTCB,$17398.79
Flow,FLOW,$0.9238
Bitcoin SV,BSV,$47.44
Chiliz,CHZ,$0.1475
Trust Wallet Token,TWT,$2.12
Aave,AAVE,$62.80
Tezos,XTZ,$0.9488
Theta Network,THETA,$0.8279
The Sandbox,SAND,$0.5522
Venus BNB,vBNB,$9.44
Axie Infinity,AXS,$7.71
TrueUSD,TUSD,$1.01
Zcash,ZEC,$47.05
USDD,USDD,$0.9805
Decentraland,MANA,$0.3934
Chain,XCN,$0.0318
Huobi BTC,HBTC,$17447.16
KuCoin Token,KCS,$6.71
Fantom,FTM,$0.2385
BitDAO,BIT,$0.3113
BitTorrent (Old),BTTOLD,$0.0006497
BitTorrent,BTT,$0.0000006685
Aptos,APT,$4.76
Gemini Dollar,GUSD,$1.00
PancakeSwap,CAKE,$3.76
Maker,MKR,$604.64
The Graph,GRT,$0.06566
eCash,XEC,$0.00002835
IOTA,MIOTA,$0.1915
Klaytn,KLAY,$0.1777
Dash,DASH,$48.53
Neo,NEO,$7.46
PAX Gold,PAXG,$1801.66
THORChain,RUNE,$1.53
Synthetix,SNX,$1.87
FTX Token,FTT,$1.36
Tether Gold,XAUT,$1773.56
Osmosis,OSMO,$0.8893
Neutrino USD,USDN,$0.6324
GMX,GMX,$52.97
Fei USD,FEI,$0.9833
Mina,MINA,$0.5578
Radix,XRD,$0.03929
GateToken,GT,$3.51
ETHPoW,ETHW,$3.44
GensoKishi Metaverse,MV,$0.2144
Nexo,NEXO,$0.6484
Lido DAO Token,LDO,$1.17
Stacks,STX,$0.2681
Zilliqa,ZIL,$0.02179
Immutable X,IMX,$0.4771
Curve DAO Token,CRV,$0.6285
1inch Network,1INCH,$0.4358
Basic Attention Token,BAT,$0.2214
Loopring,LRC,$0.2437
Decred,DCR,$21.40
Casper,CSPR,$0.03057
Kava,KAVA,$0.8875
NEM,XEM,$0.03348
XDC Network,XDC,$0.02431
Enjin Coin,ENJ,$0.3005
Holo,HOT,$0.001728
Compound,COMP,$40.56
Arweave,AR,$8.61
USDJ,USDJ,$1.05
Balancer,BAL,$6.35
Celo,CELO,$0.578
NXM,NXM,$41.21
Convex Finance,CVX,$3.86
Bitcoin Gold,BTG,$14.90
Helium,HNT,$2.15
T-mac DAO,TMG,$0.2606
Ethereum Name Service,ENS,$13.17
Bitget Token,BGB,$0.1862
Ravencoin,RVN,$0.02204
Optimism,OP,$1.14
Qtum,QTUM,$2.44
SushiSwap,SUSHI,$1.14
Theta Fuel,TFUEL,$0.04225
DeFiChain,DFI,$0.4817
Oasis Network,ROSE,$0.04351
TerraClassicUSD,USTC,$0.02474
Gnosis,GNO,$92.49
Mirrored ProShares VIX,mVIXY,$106.15
Kusama,KSM,$27.88
yearn.finance,YFI,$6391.02
Green Metaverse Token,GMT,$0.376
SwissBorg,CHSB,$0.2244
Golem,GLM,$0.2289
Kadena,KDA,$1.03
IoTeX,IOTX,$0.02342
Rocket Pool,RPL,$20.64
Luna,LUNA,$1.60
Mask Network,MASK,$3.02
Ankr,ANKR,$0.02086
JUST,JST,$0.02194
Waves,WAVES,$1.80
Symbol,XYM,$0.03353
Chia,XCH,$32.22
Liquity USD,LUSD,$1.02
Dogelon Mars,ELON,$0.0000003333
Polymath,POLY,$0.194
Venus BTC,vBTC,$871.54
Moonbeam,GLMR,$0.3774
Harmony,ONE,$0.01358
JasmyCoin,JASMY,$0.003756
BinaryX,BNX,$60.60
Gala,GALA,$0.02544
WOO Network,WOO,$0.1426
Livepeer,LPT,$6.75
SafePal,SFP,$0.5222
Ontology,ONT,$0.1897
OMG Network,OMG,$1.17
Reserve Rights,RSR,$0.003928
Hive,HIVE,$0.335
0x,ZRX,$0.1933
ICON,ICX,$0.1749
Astar,ASTR,$0.04213
Bitgert,BRISE,$0.0000003872
